37,2
38,2
38,1
38,0
38,2
38,3
38,2
38,1
38,2
38,3
38,2
38,3
37,9
38,0
38,0
38,0
38,1
38,2
38,0
37,9
38,0
38,0
37,7
37,5
37,6
37,6
37,6
37,3
37,3
37,3
37,3
37,2
37,1
36,9
36,9
36,8
36,7
36,5
36,4
36,3
36,3
36,2
36,3
35,9
35,7
35,6
35,6
35,4
35,2
35,0
35,0
34,9
34,8
34,7
34,4
34,1
34,0
33,8
33,5
32,8
32,7
31,3
30,9
30,8
30,3
30,2
29,9
29,7
29,5
29,3
29,1
29,4
28,9
28,5
28,4
28,5
28,2
28,0
27,9
27,8
27,6
27,7
27,6
27,4
27,2
27,1
26,9
26,8
27,0
26,8
26,6
26,5
26,5
26,5
26,4
26,3
26,2
26,1
26,1
25,9
25,8
25,9
25,9
25,9
25,9
25,7
25,8
25,7
25,7
25,4
25,6
25,4
25,3
25,3
25,3
25,3
25,3
25,3
25,3
25,4
25,4
25,2
25,3
