# Magentfeld U=2.37V I=2.057A
I_Probe	U_Probe	U_Hall
0,002	0,093	-0,0021
0,005	0.227	-0,0059
0,010	0,435	-0,0127
0,015	0,669	-0,0148
0,020	0,872	-0,0211
0,025	1,114	-0,0260
0,030	1,320	-0,0282
