V-A Characteristics 1.6.5

Experiment
Name

L E G E N D
M1	Ausgangskennlinie 0.600V
M2	Ausgangskennlinie 0.630V
M3	Ausgangskennlinie 0.660V
M4	Ausgangskennlinie 0.700V

M1 - U [V]	M1 - I [µA]	M2 - U [V]	M2 - I [µA]	M3 - U [V]	M3 - I [µA]	M4 - U [V]	M4 - I [µA]
0,810	34,00	0,790	52,00	0,753	80,00	0,720	124,00
0,821	34,00	0,801	52,00	0,765	80,00	0,730	124,00
0,833	34,00	0,813	52,00	0,777	80,00	0,740	124,00
0,845	34,00	0,825	52,00	0,790	80,00	0,750	124,00
0,857	34,00	0,837	52,00	0,802	80,00	0,760	124,00
0,869	34,00	0,849	52,00	0,815	80,00	0,771	124,00
0,880	34,00	0,860	52,00	0,827	80,00	0,783	124,00
0,890	34,00	0,871	52,00	0,839	80,00	0,795	124,00
0,900	33,94	0,883	52,00	0,850	80,00	0,807	124,00
0,910	33,75	0,895	52,00	0,860	80,00	0,819	124,00
0,920	33,50	0,907	52,00	0,870	80,00	0,830	124,00
0,930	33,25	0,919	52,00	0,881	80,00	0,841	124,00
0,940	33,13	0,930	52,00	0,893	80,00	0,853	124,00
0,949	33,25	0,940	52,00	0,905	80,00	0,865	124,00
0,957	33,50	0,950	52,00	0,917	80,00	0,877	124,00
0,965	33,75	0,960	52,00	0,929	80,00	0,889	124,00
0,973	33,94	0,970	52,00	0,940	80,00	0,900	124,00
0,981	34,00	0,980	52,00	0,950	80,00	0,910	124,00
0,991	34,00	0,990	52,00	0,960	80,00	0,920	124,00
1,001	34,00	1,000	52,00	0,970	80,00	0,930	124,00
1,013	34,00	1,010	52,00	0,980	80,00	0,940	124,00
1,025	34,00	1,021	52,00	0,990	80,00	0,950	124,00
1,038	34,00	1,033	52,00	1,000	80,00	0,960	124,00
1,050	34,00	1,045	52,00	1,009	80,00	0,971	124,00
1,063	34,00	1,058	52,00	1,018	80,00	0,983	124,00
1,076	34,00	1,070	52,00	1,026	80,00	0,995	124,00
1,090	34,00	1,083	52,00	1,036	80,00	1,007	124,00
1,105	34,00	1,095	52,00	1,046	80,00	1,019	124,00
1,120	34,00	1,110	52,00	1,058	80,00	1,030	124,00
1,125	34,00	1,120	52,00	1,069	80,00	1,040	124,00
1,130	34,00	1,130	52,00	1,080	80,00	1,050	124,00
1,140	34,00	1,140	52,00	1,091	80,00	1,060	124,00
1,150	34,00	1,150	52,00	1,100	80,00	1,070	124,00
1,160	34,00	1,160	52,00	1,115	80,00	1,080	124,00
1,170	34,00	1,170	52,00	1,130	80,00	1,090	124,00
1,180	34,00	1,185	52,00	1,140	80,00	1,100	124,00
1,190	34,00	1,200	52,00	1,150	80,00	1,110	124,00
1,215	34,00	1,190	52,00	1,140	80,00	1,125	124,00
1,240	34,00	1,180	52,00	1,130	80,00	1,140	124,00
1,250	34,00	1,205	52,00	1,165	80,00	1,150	124,00
1,255	34,47	1,230	52,00	1,200	80,00	1,160	124,00
1,261	34,77	1,250	52,00	1,195	80,00	1,175	124,00
1,270	36,00	1,270	52,00	1,190	80,00	1,190	124,00
		1,255	52,00	1,230	80,00	1,200	124,00
		1,255	53,40	1,270	80,00	1,210	124,00
		1,256	54,31	1,240	80,00	1,225	124,00
		1,270	58,00	1,239	80,93	1,240	124,00
				1,242	81,54	1,255	124,00
				1,270	84,00	1,270	124,00
						1,260	124,00
						1,260	125,40
						1,261	126,31
						1,270	130,00
